code,region,country,year,month,imports_usd
40,EU countries,Austria,1995,Jan,0
56,EU countries,Belgium,1995,Jan,0
100,EU countries,Bulgaria,1995,Jan,3
191,EU countries,Croatia,1995,Jan,0
196,EU countries,Cyprus,1995,Jan,0
203,EU countries,Czech Republic,1995,Jan,0
208,EU countries,Denmark,1995,Jan,0
233,EU countries,Estonia,1995,Jan,0
246,EU countries,Finland,1995,Jan,0
250,EU countries,France,1995,Jan,3
276,EU countries,Germany,1995,Jan,5.34
300,EU countries,Greece,1995,Jan,6.594
348,EU countries,Hungary,1995,Jan,0
372,EU countries,Ireland,1995,Jan,0
380,EU countries,Italy,1995,Jan,32.527
428,EU countries,Latvia,1995,Jan,0.809
440,EU countries,Lithuania,1995,Jan,0
442,EU countries,Luxembourg,1995,Jan,0
470,EU countries,Malta,1995,Jan,0
528,EU countries,Netherlands,1995,Jan,32.125
616,EU countries,Poland,1995,Jan,6.119
620,EU countries,Portugal,1995,Jan,0
642,EU countries,Romania,1995,Jan,0
703,EU countries,Slovakia,1995,Jan,0
705,EU countries,Slovenia,1995,Jan,0
724,EU countries,Spain,1995,Jan,0
752,EU countries,Sweden,1995,Jan,0
826,EU countries,United Kingdom,1995,Jan,0
51,CIS counrties,Armenia,1995,Jan,1415.768
31,CIS counrties,Azerbaijan,1995,Jan,62.008
112,CIS counrties,Belarus,1995,Jan,33.837
398,CIS counrties,Kazakhstan,1995,Jan,32.768
417,CIS counrties,Kyrgyzstan,1995,Jan,101.523
498,CIS counrties,Moldova,1995,Jan,11.177
643,CIS counrties,Russia,1995,Jan,1010.994
762,CIS counrties,Tajikistan,1995,Jan,0
795,CIS counrties,Turkmenistan,1995,Jan,176.84
804,CIS counrties,Ukraine,1995,Jan,281.256
860,CIS counrties,Uzbekistan,1995,Jan,23.371
4,Other countries,Afghanistan,1995,Jan,0
8,Other countries,Albania,1995,Jan,0
12,Other countries,Algeria,1995,Jan,0
20,Other countries,Andorra,1995,Jan,0
24,Other countries,Angola,1995,Jan,0
660,Other countries,Anguilla,1995,Jan,0
28,Other countries,Antigua and Barbuda,1995,Jan,0
32,Other countries,Argentina,1995,Jan,0
36,Other countries,Australia,1995,Jan,0
44,Other countries,Bahamas,1995,Jan,0
48,Other countries,Bahrain,1995,Jan,0
50,Other countries,Bangladesh,1995,Jan,0
52,Other countries,Barbados,1995,Jan,0
84,Other countries,Belize,1995,Jan,0
204,Other countries,Benin,1995,Jan,0
64,Other countries,Bhutan,1995,Jan,0
68,Other countries,Bolivia,1995,Jan,0
70,Other countries,Bosnia and Herzegovina,1995,Jan,0
72,Other countries,Botswana,1995,Jan,0
76,Other countries,Brazil,1995,Jan,0
854,Other countries,Burkina Faso,1995,Jan,0
116,Other countries,Cambodia,1995,Jan,0
120,Other countries,Cameroon,1995,Jan,0
124,Other countries,Canada,1995,Jan,0
136,Other countries,Cayman Islands,1995,Jan,0
140,Other countries,Central African Republic,1995,Jan,0
148,Other countries,Chad,1995,Jan,0
152,Other countries,Chile,1995,Jan,0
156,Other countries,China,1995,Jan,661.536
170,Other countries,Colombia,1995,Jan,0
178,Other countries,Congo,1995,Jan,0
188,Other countries,Costa Rica,1995,Jan,0
384,Other countries,Cote d'ivoire,1995,Jan,0
192,Other countries,Cuba,1995,Jan,0
262,Other countries,Djibouti,1995,Jan,0
212,Other countries,Dominica,1995,Jan,0
214,Other countries,Dominican Republic,1995,Jan,0
218,Other countries,Ecuador,1995,Jan,0
818,Other countries,Egypt,1995,Jan,0
222,Other countries,EL Salvador,1995,Jan,0
226,Other countries,Equatorial Guinea,1995,Jan,0
231,Other countries,Ethiopia,1995,Jan,0
258,Other countries,French Polynesia,1995,Jan,0
266,Other countries,Gabon,1995,Jan,0
270,Other countries,Gambia,1995,Jan,0
288,Other countries,Ghana,1995,Jan,0
292,Other countries,Gibraltar,1995,Jan,0
312,Other countries,Guadeloupe,1995,Jan,0
320,Other countries,Guatemala,1995,Jan,0
324,Other countries,Guinea,1995,Jan,0
624,Other countries,Guinea-Bissau,1995,Jan,0
332,Other countries,Haiti,1995,Jan,0
336,Other countries,Holy See (Vatican City State),1995,Jan,0
340,Other countries,Honduras,1995,Jan,0
344,Other countries,"Hong Kong, SAR of China",1995,Jan,0
352,Other countries,Iceland,1995,Jan,0
356,Other countries,India,1995,Jan,0
360,Other countries,Indonesia,1995,Jan,0
364,Other countries,Iran,1995,Jan,2.7
368,Other countries,Iraq,1995,Jan,0
376,Other countries,Israel,1995,Jan,0.05
388,Other countries,Jamaica,1995,Jan,0
392,Other countries,Japan,1995,Jan,0
400,Other countries,Jordan,1995,Jan,0
404,Other countries,Kenya,1995,Jan,0
410,Other countries,"Korea, Republic of",1995,Jan,0
408,Other countries,"Korea, Democratic People's Republic of",1995,Jan,0
414,Other countries,Kuwait,1995,Jan,0
422,Other countries,Lebanon,1995,Jan,0
430,Other countries,Liberia,1995,Jan,0
434,Other countries,Libya,1995,Jan,0
438,Other countries,Liechtenstein,1995,Jan,40
418,Other countries,Lao,1995,Jan,0
807,Other countries,Macedonia (FYR),1995,Jan,0
450,Other countries,Madagascar,1995,Jan,0
446,Other countries,Macau,1995,Jan,0
454,Other countries,Malawi,1995,Jan,0
458,Other countries,Malaysia,1995,Jan,0
462,Other countries,Maldives,1995,Jan,0
466,Other countries,Mali,1995,Jan,0
584,Other countries,Marshall Islands,1995,Jan,0
474,Other countries,Martinique,1995,Jan,0
480,Other countries,Mauritius,1995,Jan,0
484,Other countries,Mexico,1995,Jan,0
492,Other countries,Monaco,1995,Jan,0
496,Other countries,Mongolia,1995,Jan,0
499,Other countries,Montenegro,1995,Jan,0
504,Other countries,Morocco,1995,Jan,0
508,Other countries,Mozambique,1995,Jan,0
104,Other countries,Myanmar,1995,Jan,0
524,Other countries,Nepal,1995,Jan,0
554,Other countries,New Zealand,1995,Jan,0
558,Other countries,Nicaragua,1995,Jan,0
562,Other countries,Niger,1995,Jan,0
566,Other countries,Nigeria,1995,Jan,0
578,Other countries,Norway,1995,Jan,0
512,Other countries,Oman,1995,Jan,0
586,Other countries,Pakistan,1995,Jan,0
275,Other countries,State of Palestine,1995,Jan,0
591,Other countries,Panama,1995,Jan,0
600,Other countries,Paraguay,1995,Jan,0
604,Other countries,Peru,1995,Jan,0
608,Other countries,Philippines,1995,Jan,0
634,Other countries,Qatar,1995,Jan,0
646,Other countries,Rwanda,1995,Jan,0
670,Other countries,Saint Vincent and the Grenadines,1995,Jan,0
674,Other countries,San Marino,1995,Jan,0
682,Other countries,Saudi Arabia,1995,Jan,0
686,Other countries,Senegal,1995,Jan,0
688,Other countries,Serbia,1995,Jan,0
891,Other countries,Serbia and  Montenegro,1995,Jan,0
690,Other countries,Seychelles,1995,Jan,0
694,Other countries,Sierra Leone,1995,Jan,0
702,Other countries,Singapore,1995,Jan,0
706,Other countries,Somalia,1995,Jan,0
710,Other countries,South Africa,1995,Jan,0
144,Other countries,Sri Lanka,1995,Jan,0
729,Other countries,Sudan,1995,Jan,0
756,Other countries,Switzerland,1995,Jan,376.651
760,Other countries,Syrian,1995,Jan,0
158,Other countries,"Taiwan, Province of China",1995,Jan,0
834,Other countries,Tanzania,1995,Jan,0
764,Other countries,Thailand,1995,Jan,0
768,Other countries,Togo,1995,Jan,0
780,Other countries,Trinidad and Tobago,1995,Jan,0
788,Other countries,Tunisia,1995,Jan,0
792,Other countries,Turkey,1995,Jan,5501.081
796,Other countries,Turks and Caicos Islands,1995,Jan,0
800,Other countries,Uganda,1995,Jan,0
784,Other countries,United Arab Emirates,1995,Jan,0
840,Other countries,United States,1995,Jan,0
858,Other countries,Uruguay,1995,Jan,0
862,Other countries,Venezuela,1995,Jan,0
704,Other countries,Viet Nam,1995,Jan,0
92,Other countries,"Virgin Islands, British",1995,Jan,0
850,Other countries,"Virgin Islands, U.S",1995,Jan,0
887,Other countries,Yemen,1995,Jan,0
894,Other countries,Zambia,1995,Jan,0
716,Other countries,Zimbabwe,1995,Jan,0
40,EU countries,Austria,1995,Feb,0
56,EU countries,Belgium,1995,Feb,23.141
100,EU countries,Bulgaria,1995,Feb,528.686
191,EU countries,Croatia,1995,Feb,0
196,EU countries,Cyprus,1995,Feb,0
203,EU countries,Czech Republic,1995,Feb,0
208,EU countries,Denmark,1995,Feb,103.763
233,EU countries,Estonia,1995,Feb,14
246,EU countries,Finland,1995,Feb,0
250,EU countries,France,1995,Feb,0
276,EU countries,Germany,1995,Feb,21.826
300,EU countries,Greece,1995,Feb,66.1
348,EU countries,Hungary,1995,Feb,0
372,EU countries,Ireland,1995,Feb,0
380,EU countries,Italy,1995,Feb,18.795
428,EU countries,Latvia,1995,Feb,0
440,EU countries,Lithuania,1995,Feb,7.231
442,EU countries,Luxembourg,1995,Feb,0
470,EU countries,Malta,1995,Feb,0
528,EU countries,Netherlands,1995,Feb,0
616,EU countries,Poland,1995,Feb,16.2
620,EU countries,Portugal,1995,Feb,0
642,EU countries,Romania,1995,Feb,0
703,EU countries,Slovakia,1995,Feb,0
705,EU countries,Slovenia,1995,Feb,0
724,EU countries,Spain,1995,Feb,0
752,EU countries,Sweden,1995,Feb,0
826,EU countries,United Kingdom,1995,Feb,0
51,CIS counrties,Armenia,1995,Feb,1711.083
31,CIS counrties,Azerbaijan,1995,Feb,87.503
112,CIS counrties,Belarus,1995,Feb,207.669
398,CIS counrties,Kazakhstan,1995,Feb,71.951
417,CIS counrties,Kyrgyzstan,1995,Feb,0
498,CIS counrties,Moldova,1995,Feb,3.681
643,CIS counrties,Russia,1995,Feb,774.8271
762,CIS counrties,Tajikistan,1995,Feb,3.485
795,CIS counrties,Turkmenistan,1995,Feb,10.583
804,CIS counrties,Ukraine,1995,Feb,200.0395
860,CIS counrties,Uzbekistan,1995,Feb,47.329
4,Other countries,Afghanistan,1995,Feb,0
8,Other countries,Albania,1995,Feb,0
12,Other countries,Algeria,1995,Feb,0
20,Other countries,Andorra,1995,Feb,0
24,Other countries,Angola,1995,Feb,0
660,Other countries,Anguilla,1995,Feb,0
